,pos,mut_rate
0,1.0,0.0
1,2.0,0.7019982623805386
2,3.0,0.0
3,4.0,8.325008325008325e-05
4,5.0,8.202099737532808e-05
5,6.0,0.0003014318010550113
6,7.0,0.0
7,8.0,0.0
8,9.0,0.0
9,10.0,0.0002604573631296557
10,11.0,0.0004947800702587699
11,12.0,0.00031799391268795714
12,13.0,0.0016963159497194555
13,14.0,0.0007051308639926999
14,15.0,4.4031526573026284e-05
15,16.0,0.0
16,17.0,7.456565505927969e-05
17,18.0,2.9531628373988543e-05
18,19.0,0.00022182171079994454
19,20.0,0.0006630566913471102
20,21.0,0.005027173913043478
21,22.0,0.003740484155625214
22,23.0,0.0
23,24.0,1.3099979040033536e-05
24,25.0,5.8571328163437436e-05
25,26.0,7.241279430628543e-05
26,27.0,0.00046387448587244484
27,28.0,0.0004056178066217107
28,29.0,3.9429844449263646e-05
29,30.0,3.888365039709928e-05
30,31.0,2.8286302640809213e-06
31,32.0,2.79419366556296e-06
32,33.0,1.6600633037473163e-05
33,34.0,0.0
34,35.0,0.0
35,36.0,2.838262879907937e-05
36,37.0,7.386634267360501e-05
37,38.0,0.0
38,39.0,2.094025953357666e-06
39,40.0,0.00010210765614765152
40,41.0,9.599950848251658e-06
41,42.0,3.839501172007732e-06
42,43.0,0.0
43,44.0,1.1417827796321176e-05
44,45.0,1.3289036544850499e-05
45,46.0,1.8799996240000753e-06
46,47.0,1.8783505077181423e-06
47,48.0,0.0
48,49.0,0.0
49,50.0,2.123104686753596e-05
50,51.0,0.0
51,52.0,5.292143988653643e-06
52,53.0,3.5219514428554573e-06
53,54.0,5.8128474497452915e-05
54,55.0,5.281718037243154e-06
55,56.0,1.404642342943428e-05
56,57.0,5.9527144377836293e-05
57,58.0,5.25256981978433e-06
58,59.0,4.717360235099257e-05
59,60.0,1.0479910012506027e-05
60,61.0,0.0011906775007278299
61,62.0,6.9809733571151825e-06
62,63.0,9.240371707027913e-05
63,64.0,0.0005203076601816727
64,65.0,2.2618175617954657e-05
65,66.0,0.0011801204452825597
66,67.0,6.954453545119625e-06
67,68.0,1.216304034306724e-05
68,69.0,4.1684397009144516e-05
69,70.0,0.0
70,71.0,6.716920426322939e-06
71,72.0,0.0
72,73.0,3.360045696621474e-06
73,74.0,3.357242495304057e-06
74,75.0,1.669858880226032e-06
75,76.0,5.613005708426806e-06
76,77.0,1.887323039873474e-05
77,78.0,5.84041719418822e-05
78,79.0,7.648329795980803e-06
79,80.0,9.562716117384253e-06
80,81.0,4.592369777614494e-05
81,82.0,5.9167306055296616e-05
82,83.0,9.069626388077976e-05
83,84.0,0.0002770636530182975
84,85.0,9.405745029063752e-06
85,86.0,1.3145811462772001e-05
86,87.0,1.1270208893321837e-05
87,88.0,0.00031899183568542903
88,89.0,9.385899375649974e-06
89,90.0,6.0026824487192716e-05
90,91.0,0.00026048498931824143
91,92.0,0.00025657304559696307
92,93.0,2.9958563561773623e-05
93,94.0,0.0002937429019927743
94,95.0,9.718845027409011e-05
95,96.0,0.00019238923143303826
96,97.0,7.478270948973888e-05
97,98.0,0.000259569525417272
98,99.0,0.0004037413363838234
99,100.0,0.00146768022496961
100,101.0,0.00033616646963576365
101,102.0,4.658399560247082e-05
102,103.0,0.00020488749813738638
103,104.0,1.8640510302610045e-05
104,105.0,0.001173756952324262
105,106.0,0.0027546415989941186
106,107.0,1.674599305599488e-05
107,108.0,2.4131542896601907e-05
108,109.0,1.1118605875071345e-05
109,110.0,0.00031680746998666076
110,111.0,0.0001400416390473434
111,112.0,1.859143827084751e-06
112,113.0,7.44324525493115e-06
113,114.0,9.229230079168336e-06
114,115.0,7.386956481592628e-06
115,116.0,2.7682682636498696e-05
116,117.0,0.00018266053370086848
117,118.0,5.727144076470306e-05
118,119.0,0.00042599648137971223
119,120.0,3.873431029871531e-05
120,121.0,0.00014196976597113774
121,122.0,3.694085399866274e-05
122,123.0,7.195319721264383e-05
123,124.0,6.645708072504676e-05
124,125.0,3.1332593638377636e-05
125,126.0,0.00017711033420351083
126,127.0,0.0002654846192859013
127,128.0,0.0
128,129.0,8.438834046659415e-05
129,130.0,4.3956688010080735e-05
130,131.0,0.0
131,132.0,2.0150136837747434e-05
132,133.0,1.8344382766553055e-05
133,134.0,1.648016612007449e-05
134,135.0,1.652804533826481e-05
135,136.0,4.225750621920255e-05
136,137.0,0.00018185492018589613
137,138.0,3.6777415724551866e-06
138,139.0,9.186144354746848e-06
139,140.0,0.00179267699703667
140,141.0,6.255254874039405e-05
141,142.0,1.104583838833854e-05
142,143.0,0.000822587367775507
143,144.0,3.484857377626482e-05
144,145.0,0.00020899177965666684
145,146.0,1.4664772466889694e-05
146,147.0,0.000500453708032007
147,148.0,2.75244508872048e-05
148,149.0,0.00012273579928483497
149,150.0,5.495562333415767e-06
150,151.0,0.0001611373366195584
151,152.0,0.00020896458050360465
152,153.0,4.2178075836180355e-05
153,154.0,9.173790114690724e-06
154,155.0,1.8372558746256592e-05
155,156.0,0.0003524115281006679
156,157.0,0.0001358057317359643
157,158.0,0.00018009111140105373
158,159.0,2.3847260133251153e-05
159,160.0,0.0004948508024830514
160,161.0,7.526374435292454e-05
161,162.0,0.000249456148910647
162,163.0,4.2525654063048903e-05
163,164.0,5.496085870845646e-06
164,165.0,0.0001082874793978482
165,166.0,7.341928284044521e-06
166,167.0,0.00021511149026298758
167,168.0,4.410694463843332e-05
168,169.0,4.6030936471783953e-05
169,170.0,1.6593960535874298e-05
170,171.0,0.0003362548922330632
171,172.0,7.737271727456445e-05
